START 4
500 0 0 0
0 200 200 200
0 200 200 200
0 200 200 200
END
START 5
500 -500 -500 -500 500
-100 300 100 100 500
-100 100 300 100 500
-100 100 50 300 500
0 0 0 0 0
END
START 3
0 0 0
0 0 0
0 0 0
END
START 9
50 0 0 0 0 0 0 0 0 
0 100 0 0 0 0 0 0 0
0 0 150 0 0 0 0 0 0 
0 0 0 200 0 0 0 0 0
0 0 0 0 250 0 0 0 0
0 0 0 0 0 300 0 0 0
0 0 0 0 0 0 350 0 0 
0 0 0 0 0 0 0 400 0 
0 0 0 0 0 0 0 0 450
END
START 9
-50 0 0 0 0 0 0 0 0 
0 -100 0 0 0 0 0 0 0
0 0 -150 0 0 0 0 0 0 
0 0 0 -200 0 0 0 0 0
0 0 0 0 -250 0 0 0 0
0 0 0 0 0 -300 0 0 0
0 0 0 0 0 0 -350 0 0 
0 0 0 0 0 0 0 -400 0 
0 0 0 0 0 0 0 0 -450
END
