10
50
587 180
558 341
327 813
930 152
259 262
380 339
141 365
686 519
393 642
826 720
897 527
458 588
616 371
892 576
743 945
505 809
592 355
86 145
129 9
789 788
93 477
461 718
938 917
865 93
413 989
980 750
446 60
866 874
164 843
805 958
270 536
312 177
734 919
367 387
720 885
708 79
943 323
297 706
207 323
156 25
685 220
588 241
630 81
456 994
591 869
567 495
883 635
420 372
997 820
537 158
50
913 908
358 662
743 454
179 866
973 763
984 418
615 312
61 205
988 340
190 11
426 901
867 723
195 69
423 134
60 925
166 944
459 410
633 146
985 122
846 653
939 656
25 659
40 160
545 934
997 337
70 979
517 271
680 734
528 76
515 293
828 579
923 953
104 932
348 716
302 301
223 301
607 568
960 594
878 263
714 446
250 798
960 680
744 438
121 192
156 338
371 65
205 421
497 693
894 814
185 995
50
310 61
390 967
643 367
491 947
22 666
808 198
884 395
658 606
980 492
547 596
794 263
282 602
117 447
753 805
731 48
888 155
692 199
817 123
498 634
595 997
499 144
927 33
267 710
216 199
302 904
906 800
344 515
537 788
786 321
157 137
178 367
712 278
537 110
834 197
275 314
31 496
859 642
565 389
922 462
514 332
457 526
344 779
888 801
58 288
257 942
433 79
515 590
114 964
923 915
365 464
50
846 629
104 847
834 965
404 748
711 971
76 48
566 841
56 645
932 896
285 847
169 256
481 135
46 218
705 192
760 837
902 189
222 233
673 522
229 717
356 347
268 881
148 541
96 469
388 912
896 935
308 834
784 320
544 759
651 281
445 433
870 828
733 17
170 620
404 738
78 484
846 126
675 129
15 398
62 913
191 17
861 934
249 44
256 612
618 429
597 428
86 8
330 442
420 616
82 778
287 380
50
39 281
360 934
394 163
571 75
498 560
419 81
560 581
902 746
160 601
123 980
588 274
873 696
55 964
527 567
92 101
388 172
47 232
229 985
449 414
145 643
160 936
990 932
621 265
611 974
264 556
813 179
76 996
485 602
638 785
596 508
447 544
862 101
208 514
674 559
857 16
570 764
495 204
879 364
62 359
404 85
553 607
947 559
812 175
236 258
431 28
378 523
119 29
209 89
955 545
91 958
50
307 773
501 933
852 914
477 662
30 749
382 549
506 68
695 493
656 895
521 990
891 422
304 784
682 104
785 917
444 419
594 710
91 381
994 959
938 8
193 361
800 621
346 0
618 988
811 527
627 81
507 526
159 431
221 447
423 850
561 398
203 599
806 24
286 896
318 703
537 66
303 268
15 490
686 535
175 975
547 957
216 100
85 854
900 629
361 785
711 39
128 797
32 851
897 491
181 456
34 62
50
468 811
55 725
178 485
512 258
279 253
814 659
934 605
66 340
392 325
577 589
620 537
960 508
154 436
873 41
964 250
312 204
800 858
22 129
398 878
40 81
121 980
600 168
125 624
623 78
857 440
813 802
791 967
922 974
610 548
120 146
646 736
504 56
310 715
703 694
379 867
221 772
509 807
633 6
16 912
991 508
54 632
836 416
556 613
27 861
915 1
191 274
247 113
965 36
196 36
377 474
50
670 611
632 250
636 694
302 264
24 542
413 274
115 675
212 610
300 578
446 480
951 167
846 594
223 38
123 40
41 118
205 622
151 509
605 138
113 975
812 427
315 749
333 334
626 79
534 144
85 190
767 462
120 167
343 929
148 599
803 679
25 656
582 913
780 733
609 553
234 667
608 457
605 28
847 319
974 973
900 998
514 661
503 676
745 309
979 961
645 533
795 759
382 741
738 508
585 12
891 162
50
508 38
36 119
218 476
398 148
922 225
639 267
852 993
851 408
714 773
878 684
565 695
678 22
120 115
597 970
909 661
352 475
429 419
258 562
392 386
717 882
458 821
289 300
391 138
702 781
383 554
31 108
422 779
890 130
974 665
870 531
901 867
685 394
505 264
418 147
833 95
29 841
872 491
828 92
72 399
897 425
725 648
589 216
67 288
49 898
626 182
416 611
258 218
760 12
524 471
58 529
50
523 76
491 958
99 586
144 928
350 95
740 406
732 491
399 165
626 753
526 782
160 357
839 581
223 487
251 658
89 937
779 980
775 285
891 395
303 199
771 269
313 462
752 394
57 648
799 740
673 201
265 612
779 31
344 780
823 665
530 198
384 378
161 976
535 753
595 397
717 548
860 900
53 814
684 86
922 751
650 61
669 878
853 580
765 703
838 785
366 239
792 581
202 388
926 18
944 432
744 411
