3
100
193 90
21 862
982 460
167 396
902 435
320 200
160 784
382 101
55 876
334 68
832 511
331 156
816 953
691 129
751 907
690 104
518 23
54 815
436 394
361 838
169 445
129 463
863 523
241 702
482 524
486 322
523 852
424 654
164 80
491 398
686 741
236 578
439 775
861 308
982 310
769 49
15 585
658 597
631 73
828 124
984 31
722 212
936 999
438 977
366 64
862 56
872 991
340 433
270 718
311 839
883 63
112 730
904 923
257 641
214 693
855 71
899 94
459 905
405 125
574 784
664 388
254 776
766 606
690 142
763 749
482 998
945 835
318 194
518 121
106 796
940 102
248 126
318 462
583 445
142 890
767 16
365 435
244 458
263 940
746 12
806 901
249 593
246 21
639 270
508 606
871 114
504 932
326 213
912 670
166 999
86 460
929 930
721 782
308 41
617 330
44 769
368 205
122 27
112 373
23 461
10
2 8
0 8
4 0
2 6
3 4
3 6
3 1
0 6
1 7
0 9
3
292 400
224 513
783 397
