21
continental
delta
austrian_airways
klm
alaska
america_west
lufthansa
mesa
british_airways
twa
virgin_atlantic
air_china
southwest
swiss_air
northwest
air_france
air_egypt
air_canada
south_african
american
al_italia
20
continental america_west
continental air_china
delta klm
america_west mesa
continental alaska
america_west alaska
continental air_france
american lufthansa
british_airways lufthansa
air_egypt klm
america_west twa
continental virgin_atlantic
lufthansa al_italia
virgin_atlantic air_france
al_italia south_african
delta swiss_air
air_egypt al_italia
austrian_airways delta
delta austrian_airways
delta air_canada
10
delta america_west
continental mesa
southwest delta
twa air_france
klm al_italia
south_african lufthansa
klm twa
klm continental
klm swiss_air
air_canada south_african
